Old company,New company,Action,Date
Renters Choice,Rent-A-Center,Merger,1998
Spec's Music,Camelot Music,Merger,1998
Sportmart,Gart Sports,Merger,1998
The Wall,Camelot Music,Merger,1998
Winmark,Disc Go Round,Split,1998
American Stores,Albertsons,Merger,1999
Carl's Jr./Hardee's,Rally's,Split,1999
Dominick's,Safeway,Merger,1999
Eagle Hardware,Lowe's,Merger,1999
Fred Meyer,Kroger,Merger,1999
GameStop,Barnes & Noble,Merger,1999
Hills,Ames,Merger,1999
K&G,Men's Wearhouse,Merger,1999
Limited Brands,Justice,Split,1999
Pamida,Shopko,Merger,1999
Rally's,Checkers/Rally's,Merger,1999
Randalls,Safeway,Merger,1999
Star Market,Shaw's,Merger,1999
ZCMI,May Co.,Merger,1999
Big Lots,KB Toys,Split,2000
Catherines,Charming Shoppes,Merger,2000
David's Bridal,May Co.,Merger,2000
Filene's Basement,Value City,Merger,2000
FuncoLand,Barnes & Noble,Merger,2000
Hannaford,Food Lion,Merger,2000
Jitney-Jungle,Winn-Dixie,Merger,2000
Just For Feet,Footstar,Merger,2000
Lamonts,Gottschalks,Merger,2000
Noodle Kidoodle,Zany Brainy,Merger,2000
Bruno's,Ahold,Merger,2001
Discount Auto,Advance Auto,Merger,2001
Lane Bryant,Charming Shoppes,Merger,2001
Limited Brands,Lane Bryant,Split,2001
Musicland,Best Buy,Merger,2001
Oshman's,Gart Sports,Merger,2001
Sound Advice,Tweeter,Merger,2001
Barnes & Noble,GameStop,Split,2002
Casual Male,Destination XL,Merger,2002
Circuit City,CarMax,Split,2002
Lands' End,Sears,Merger,2002
Limited Brands,Lerner,Split,2002
Long John Silver's,Yum! Brands,Merger,2002
Elder-Beerman,Bon-Ton,Merger,2003
Gart Sports,Sports Authority,Merger,2003
Good Guys,CompUSA,Merger,2003
Peebles,Stage Stores,Merger,2003
Value City,Value City Furniture,Split,2003
Eckerd,Brooks Pharmacy,Merger,2004
JCPenney,Eckerd,Split,2004
Marshall Field,May Co.,Merger,2004
Popeyes,Church's,Split,2004
Shaw's,Albertsons,Merger,2004
Target,Marshall Field,Split,2004
Target,Mervyn's,Split,2004
Ahold,Bi-Lo,Split,2005
EB Games,GameStop,Merger,2005
Gadzooks,Forever 21,Merger,2005
Hollywood Video,Movie Gallery,Merger,2005
Kmart,Sears,Merger,2005
May Co.,Federated/Macy's,Merger,2005
Federated/Macy's,Lord & Taylor,Split,2006
J.Jill,Talbots,Merger,2006
Proffitt's/Saks,Saks Northern Group,Split,2006
Saks Northern Group,Bon-Ton,Merger,2006
Ahold,Tops Markets,Split,2007
Applebee's,IHOP,Merger,2007
McDonald's,Boston Market,Split,2007
Pathmark,A&P,Merger,2007
Shopko,Pamida,Split,2007
Arby's,Wendy's,Merger,2008
Longs Drug,CVS,Merger,2008
Lord & Taylor,Hudson's Bay,Merger,2008
Filene's Basement,Syms,Merger,2009
Justice,Ascena Retail,Merger,2009
Talbots,J.Jill,Split,2009
Value City,Filene's Basement,Split,2009
Zappos,Amazon,Merger,2009
Duane Reade,Walgreens,Merger,2010
Penn Traffic,Tops Markets,Merger,2010
Wendy's,Arby's,Split,2011
Yum! Brands,Long John Silver's,Split,2011
Charming Shoppes,Ascena Retail,Merger,2012
Pamida,Shopko,Merger,2012
Sears,Sears Hometown,Split,2012
World Market,Bed Bath & Beyond,Merger,2012
Grand Union,Tops Markets,Merger,2013
Nash Finch,Spartan Stores,Merger,2013
OfficeMax,Office Depot,Merger,2013
Sears,Lands' End,Split,2013
Darden,Red Lobster,Split,2014
Harris Teeter,Kroger,Merger,2014
Jos. A. Bank,Men's Wearhouse,Merger,2014
Tim Hortons,Burger King,Merger,2014
United Supermarkets,Albertsons,Merger,2014
Zales,Signet Jewelers,Merger,2014
Albertsons,Safeway,Merger,2015
Ann Taylor,Ascena Retail,Merger,2015
Duckwall-ALCO,Shopko,Merger,2015
Family Dollar,Dollar Tree,Merger,2015
The Pantry,Circle K,Merger,2015
Van Tuyl,Berkshire Hathaway,Merger,2015
Hot Topic,Torrid,Split,2015
Food Lion,Ahold,Merger,2016
Roundy's,Kroger,Merger,2016
Cabela's,Bass Pro,Merger,2017
Chewy,Petsmart,Merger,2017
Gander Mountain,Camping World,Merger,2017
Gordmans,Stage Stores,Merger,2017
Holiday,Circle K,Merger,2017
HSN,QVC,Merger,2017
Popeyes,Burger King,Merger,2017
SuperValu,Save-A-Lot,Split,2017
Valero,Circle K,Merger,2017
Whole Foods,Amazon,Merger,2017
Arby's,Inspire Brands,Merger,2018
Buffalo Wild Wings,Inspire Brands,Merger,2018
Jack in the Box,Qdoba,Split,2018
Kroger,Loaf 'n Jug,Split,2018
Loaf 'n Jug,EG Group,Merger,2018
Sonic Drive-In,Inspire Brands,Merger,2018
Cumberland Farms,EG Group,Merger,2019
Papa Murphy's,MTY Group,Merger,2019
Petsmart,Chewy,Split,2019
Sears Hometown,Sears,Merger,2019
Sears Hometown,Sears Outlet,Split,2019
Sears Outlet,Franchise Group,Merger,2019
Vitamin Shoppe,Franchise Group,Merger,2019
Dunkin',Inspire Brands,Merger,2020
Bed Bath & Beyond,World Market,Split,2021
Firehouse Subs,Burger King,Merger,2021
LHM Auto,Asbury Automotive,Merger,2021
Pet Supplies Plus,Franchise Group,Merger,2021
RFJ Auto,Sonic Automotive,Merger,2021
Sportsman's Warehouse,Bass Pro,Merger,2021
Tiffany,Sephora,Merger,2021
Limited Brands,Victoria's Secret,Split,2021
Speedway,7-Eleven,Merger,2021
Price Chopper,Northeast Grocery,Merger,2021
Tops Markets,Northeast Grocery,Merger,2021
Bashas,Raley's,Merger,2021
Bailey 44,Digital Brands,Merger,2021
